Block,Subplot,LegacySpp,year,planting,weeding,ACHMIL,ERISPE,GAIARI,LINLEW,PENSTR,BOUGRA,ELYELY,KOEMAC,PSESPE,BROTEC,CENSTO,EUPESU,POTREC,original_legacy_cover,new_legacy_cover,exotic_grass_other,exotic_forb_other,native_grass_other ,native_forb_other,bare_ground,litter,exotic_other_total,exotic_total
2,B,CENSTO,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,0,NA,NA,NA,NA,NA,NA,15,20
2,C,CENSTO,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,25,25
2,D,CENSTO,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,15,15
3,A,BROTEC,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,30,0,NA,NA,NA,NA,NA,NA,25,55
3,B,BROTEC,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,40,0,NA,NA,NA,NA,NA,NA,20,60
3,C,BROTEC,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,20,0,NA,NA,NA,NA,NA,NA,40,60
3,D,BROTEC,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,45,0,NA,NA,NA,NA,NA,NA,20,65
3,A,CENSTO,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,15,15
3,B,CENSTO,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,30,30
3,C,CENSTO,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,55,55
3,D,CENSTO,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,0,NA,NA,NA,NA,NA,NA,40,45
